Hydrophobicity cutoff,Blob length,Blob hydrophobicity class,total SNPs,Enrichment,p value,color
0.03,75,p,23,0.98,1.0,"rgb(9.999999999999993, 9.999999999999993, 255.0)"
0.03,76,p,21,2.54,0.00174,"rgb(255, 0, 0)"
0.03,77,p,13,0.56,0.344,"rgb(224.0, 224.0, 255.0)"
0.03,78,p,35,0.26,5.86e-05,"rgb(255.0, 131.99999999999997, 131.99999999999997)"
0.03,79,p,15,1.11,0.689,"rgb(255, 0, 0)"
0.03,80,p,12,0.12,0.00328,"rgb(255.0, 60.0, 60.0)"
0.03,81,p,15,0.63,0.375,"rgb(188.0, 188.0, 255.0)"
0.03,82,p,5,1.9,0.211,"rgb(255, 0, 0)"
0.03,83,p,19,0.15,0.000305,"rgb(255.0, 76.0, 76.0)"
0.03,84,p,19,3.55,6.58e-05,"rgb(255, 0, 0)"
0.03,85,p,12,0.42,0.182,"rgb(255.0, 214.0, 214.0)"
0.03,86,p,10,0.0,0.000925,"rgb(255.0, 0.0, 0.0)"
0.03,87,p,10,0.0,0.000925,"rgb(255.0, 0.0, 0.0)"
0.03,88,p,15,0.32,0.0324,"rgb(255.0, 162.0, 162.0)"
0.03,89,p,22,0.28,0.00314,"rgb(255.0, 142.0, 142.0)"
0.03,90,p,19,2.75,0.00126,"rgb(255, 0, 0)"
0.03,91,p,11,0.72,0.671,"rgb(142.0, 142.0, 255.0)"
0.03,92,p,14,0.1,0.00081,"rgb(255.0, 50.0, 50.0)"
0.03,93,p,16,0.08,0.000199,"rgb(255.0, 40.0, 40.0)"
0.03,94,p,20,1.04,0.864,"rgb(255, 0, 0)"
0.03,95,p,7,1.69,0.308,"rgb(255, 0, 0)"
0.03,96,p,10,1.9,0.143,"rgb(255, 0, 0)"
0.03,97,p,12,0.42,0.182,"rgb(255.0, 214.0, 214.0)"
